,상가업소번호,상호명,상권업종소분류코드,경도,위도,시도명,시군구명,법정동명
31452,17059583,풍국면,Q01A01,128.637743473865,35.922205007781,대구광역시,동구,봉무동
6688,25222948,닭올닭,Q05A03,128.516399814601,35.8117988977843,대구광역시,달서구,유천동
26554,16750663,레프트뱅크,Q12A01,128.535712924476,35.8172846283466,대구광역시,달서구,상인동
91793,17848710,삼첩분식,Q04A01,128.549164118336,35.9304301893584,대구광역시,북구,태전동
62404,14366540,과연풍천장어,Q01A99,128.63202201262,35.825523684782,대구광역시,수성구,지산동
77646,16562346,네네치킨,Q05A08,128.541732039105,35.8106238434505,대구광역시,달서구,상인동
84750,17436974,김도영의진주통닭,Q05A08,128.592041172364,35.8605725255196,대구광역시,중구,남산동
10517,15966183,비스트로피자,Q07A01,128.495226529695,35.8537819058957,대구광역시,달서구,신당동
84280,17372349,생고기더우277,Q01A99,128.530098329055,35.8416544744682,대구광역시,달서구,본리동
17788,23278261,해킹쭈꾸미,Q03A13,128.443207485261,35.7891068556988,대구광역시,달성군,옥포읍
103838,18535370,남영미한식뷔페,Q15A01,128.588284579083,35.8916144604511,대구광역시,북구,침산동
77337,14073350,커피왕,Q12A01,128.586260244429,35.8889744791989,대구광역시,북구,침산동
86199,17474073,마차이짬뽕,Q02A00,128.418080960606,35.6508843248197,대구광역시,달성군,구지면
87115,17210672,맛사랑소머리곰탕,Q01A09,128.733345325547,35.864146526982,대구광역시,동구,신서동
21024,12568965,코코커피,Q08A01,128.542555147183,35.9265935928979,대구광역시,북구,태전동
96814,18071026,비스트로피자화원,Q07A01,128.44049985543,35.7815725747423,대구광역시,달성군,옥포읍
39372,16008753,햄튼어게인,Q01A01,128.624301820404,35.8303861278475,대구광역시,수성구,지산동
22462,23158288,멕시카나양념통닭,Q01A01,128.576470691833,35.8448930681197,대구광역시,남구,대명동
7533,12274659,동서통닭,Q05A08,128.633798407203,35.8874351488855,대구광역시,동구,신암동
34195,16696274,정통청도김밥,Q04A01,128.546613760832,35.8286554257383,대구광역시,달서구,송현동
101282,18371757,진미가,Q01A01,128.700718031703,35.8721556583556,대구광역시,동구,신기동
33745,16112796,토마토7080라이브카페,Q09A10,128.464856291336,35.859257131436,대구광역시,달성군,다사읍
45450,19918089,뚜꺼비식당,Q01A01,128.543711465075,35.8623512240462,대구광역시,서구,중리동
83109,17206656,베르데,Q12A01,128.589497263528,35.8459835719582,대구광역시,남구,대명동
70336,11779056,호남식당,Q01A01,128.704851358771,35.8699683212185,대구광역시,동구,신기동
30334,16948062,떡담소,Q08A03,128.568252778269,35.9482053809066,대구광역시,북구,학정동
53674,19912256,밀뜨락,Q08A01,128.591973967473,35.8515325745441,대구광역시,남구,대명동
31545,17067107,구마적,Q01A99,128.598411198117,35.8477692054354,대구광역시,남구,봉덕동
10741,16586423,달달,Q12A01,128.597797051459,35.866240386635,대구광역시,중구,삼덕동1가
58347,23240441,포장회도매수산,Q03A99,128.59542385969,35.8968429804065,대구광역시,북구,산격동
33606,16096641,팔공반점,Q02A00,128.646152412159,35.8879551828432,대구광역시,동구,검사동
98068,18181583,캔버스커피,Q12A01,128.571539701053,35.8395987892097,대구광역시,남구,대명동
20568,11928847,디스커버리커피,Q12A01,128.634406306337,35.859491039132,대구광역시,수성구,범어동
78889,17088821,동행프로젝트,Q12A01,128.704957163129,35.8456501514899,대구광역시,수성구,매호동
6614,26328383,옛날감자탕,Q01A01,128.548990344705,35.842678293605,대구광역시,달서구,성당동
46165,12463323,라라코스트신서혁신점,Q01A01,128.732170432473,35.8772587978468,대구광역시,동구,신서동
53457,16464733,착한369치킨호프,Q09A01,128.601577343503,35.9209946202609,대구광역시,북구,동변동
34043,17111806,한끼오솥찜닭,Q01A01,128.594786384663,35.8456510597033,대구광역시,남구,봉덕동
29085,17037699,진라멘,Q01A01,128.638960666359,35.8226838754232,대구광역시,수성구,지산동
75429,26365769,이모칼국수,Q04A01,128.550717347676,35.8587050009998,대구광역시,서구,내당동
32369,20370114,강남동동주,Q01A01,128.548139029974,35.9360500653492,대구광역시,북구,관음동
62976,16414768,카츠효,Q03A03,128.589268853733,35.8555116992208,대구광역시,남구,대명동
22640,20560342,파리바게뜨,Q08A01,128.55055517834,35.86247328524,대구광역시,서구,내당동
100947,18331259,수성바베큐캠프,Q01A01,128.619642914849,35.8632184357386,대구광역시,수성구,수성동4가
79969,17838348,유담,Q02A00,128.552412074707,35.842842879676,대구광역시,달서구,성당동
37446,17561974,백만식당,Q01A01,128.704967221245,35.8717973121821,대구광역시,동구,신기동
31682,12662335,해솔찜명가,Q01A01,128.571302770978,35.9422873100934,대구광역시,북구,구암동
102332,18429022,와커피,Q12A01,128.604848875039,35.8630955307433,대구광역시,중구,삼덕동2가
